station_id,name,year,month,monthly_temp_avg
IN009010500,"ANEKAL, IN",1901,1,27.464516129032255
IN009010500,"ANEKAL, IN",1901,2,27.93571428571429
IN009010500,"ANEKAL, IN",1901,3,26.17096774193549
IN009010500,"ANEKAL, IN",1901,4,28.076666666666657
IN009010500,"ANEKAL, IN",1901,5,28.022580645161295
IN009010500,"ANEKAL, IN",1901,6,28.319999999999997
IN009010500,"ANEKAL, IN",1901,7,26.16774193548387
IN009010500,"ANEKAL, IN",1901,8,27.087096774193544
IN009010500,"ANEKAL, IN",1901,9,27.016666666666673
IN009010500,"ANEKAL, IN",1901,10,26.312903225806462
IN009010500,"ANEKAL, IN",1901,11,27.276666666666664
IN009010500,"ANEKAL, IN",1901,12,26.696774193548386
IN009010101,"HASKOTE, IN",1901,1,27.13870967741936
IN009010101,"HASKOTE, IN",1901,2,26.13571428571429
IN009010101,"HASKOTE, IN",1901,3,28.490322580645163
IN009010101,"HASKOTE, IN",1901,4,28.63
IN009010101,"HASKOTE, IN",1901,5,26.79032258064516
IN009010101,"HASKOTE, IN",1901,6,27.84333333333334
IN009010101,"HASKOTE, IN",1901,7,27.29354838709677
IN009010101,"HASKOTE, IN",1901,8,26.816129032258065
IN009010101,"HASKOTE, IN",1901,9,27.233333333333338
IN009010101,"HASKOTE, IN",1901,10,25.848387096774193
IN009010101,"HASKOTE, IN",1901,11,27.11333333333334
IN009010101,"HASKOTE, IN",1901,12,26.38064516129032
IN009010500,"ANEKAL, IN",1902,1,28.04516129032258
IN009010500,"ANEKAL, IN",1902,2,28.25714285714286
IN009010500,"ANEKAL, IN",1902,3,27.29354838709677
IN009010500,"ANEKAL, IN",1902,4,26.97333333333334
IN009010500,"ANEKAL, IN",1902,5,28.57096774193548
IN009010500,"ANEKAL, IN",1902,6,28.36
IN009010500,"ANEKAL, IN",1902,7,27.409677419354836
IN009010500,"ANEKAL, IN",1902,8,27.548387096774192
IN009010500,"ANEKAL, IN",1902,9,26.936666666666664
IN009010500,"ANEKAL, IN",1902,10,27.78064516129032
IN009010500,"ANEKAL, IN",1902,11,27.443333333333335
IN009010500,"ANEKAL, IN",1902,12,26.509677419354837
IN009010101,"HASKOTE, IN",1902,1,28.24193548387097
IN009010101,"HASKOTE, IN",1902,2,26.800000000000004
IN009010101,"HASKOTE, IN",1902,3,27.90967741935484
IN009010101,"HASKOTE, IN",1902,4,27.49
IN009010101,"HASKOTE, IN",1902,5,27.045161290322582
IN009010101,"HASKOTE, IN",1902,6,27.31
IN009010101,"HASKOTE, IN",1902,7,27.09677419354839
IN009010101,"HASKOTE, IN",1902,8,27.48387096774193
IN009010101,"HASKOTE, IN",1902,9,28.806666666666658
IN009010101,"HASKOTE, IN",1902,10,27.75483870967742
IN009010101,"HASKOTE, IN",1902,11,27.150000000000002
IN009010101,"HASKOTE, IN",1902,12,27.94193548387097
IN009010500,"ANEKAL, IN",1903,1,26.63225806451613
IN009010500,"ANEKAL, IN",1903,2,27.682142857142857
IN009010500,"ANEKAL, IN",1903,3,26.977419354838712
IN009010500,"ANEKAL, IN",1903,4,26.986666666666665
IN009010500,"ANEKAL, IN",1903,5,28
IN009010500,"ANEKAL, IN",1903,6,27.330000000000002
IN009010500,"ANEKAL, IN",1903,7,27.861290322580643
IN009010500,"ANEKAL, IN",1903,8,26.5258064516129
IN009010500,"ANEKAL, IN",1903,9,28.346666666666668
IN009010500,"ANEKAL, IN",1903,10,29.2483870967742
IN009010500,"ANEKAL, IN",1903,11,26.279999999999998
IN009010500,"ANEKAL, IN",1903,12,27.161290322580644
IN009010101,"HASKOTE, IN",1903,1,27.138709677419357
IN009010101,"HASKOTE, IN",1903,2,27.778571428571432
IN009010101,"HASKOTE, IN",1903,3,26.835483870967746
IN009010101,"HASKOTE, IN",1903,4,26.713333333333328
IN009010101,"HASKOTE, IN",1903,5,27.464516129032255
IN009010101,"HASKOTE, IN",1903,6,27.173333333333336
IN009010101,"HASKOTE, IN",1903,7,25.599999999999994
IN009010101,"HASKOTE, IN",1903,8,28.161290322580644
IN009010101,"HASKOTE, IN",1903,9,27.923333333333332
IN009010101,"HASKOTE, IN",1903,10,28.835483870967742
IN009010101,"HASKOTE, IN",1903,11,28.113333333333337
IN009010101,"HASKOTE, IN",1903,12,27.87096774193548
IN009010500,"ANEKAL, IN",1904,1,26.570967741935487
IN009010500,"ANEKAL, IN",1904,2,27.70689655172414
IN009010500,"ANEKAL, IN",1904,3,26.583870967741934
IN009010500,"ANEKAL, IN",1904,4,27.636666666666663
IN009010500,"ANEKAL, IN",1904,5,27.751612903225805
IN009010500,"ANEKAL, IN",1904,6,27.166666666666668
IN009010500,"ANEKAL, IN",1904,7,26.177419354838705
IN009010500,"ANEKAL, IN",1904,8,26.25483870967742
IN009010500,"ANEKAL, IN",1904,9,27.296666666666663
IN009010500,"ANEKAL, IN",1904,10,28.006451612903223
IN009010500,"ANEKAL, IN",1904,11,27.66
IN009010500,"ANEKAL, IN",1904,12,27.54516129032258
IN009010101,"HASKOTE, IN",1904,1,29.39677419354839
IN009010101,"HASKOTE, IN",1904,2,27.33103448275862
IN009010101,"HASKOTE, IN",1904,3,27.0741935483871
IN009010101,"HASKOTE, IN",1904,4,27.84333333333334
IN009010101,"HASKOTE, IN",1904,5,28.8258064516129
IN009010101,"HASKOTE, IN",1904,6,27.48
IN009010101,"HASKOTE, IN",1904,7,27.254838709677422
IN009010101,"HASKOTE, IN",1904,8,26.94193548387097
IN009010101,"HASKOTE, IN",1904,9,26.790000000000006
IN009010101,"HASKOTE, IN",1904,10,27.44193548387097
IN009010101,"HASKOTE, IN",1904,11,27.656666666666673
IN009010101,"HASKOTE, IN",1904,12,28.15333333333334
IN009010500,"ANEKAL, IN",1905,1,28.429032258064513
IN009010500,"ANEKAL, IN",1905,2,28.746428571428577
IN009010500,"ANEKAL, IN",1905,3,26.867741935483874
IN009010500,"ANEKAL, IN",1905,4,26.77666666666666
IN009010500,"ANEKAL, IN",1905,5,26.49677419354839
IN009010500,"ANEKAL, IN",1905,6,27.823333333333338
IN009010500,"ANEKAL, IN",1905,7,28.84516129032258
IN009010500,"ANEKAL, IN",1905,8,27.132258064516126
IN009010500,"ANEKAL, IN",1905,9,28.23333333333333
IN009010500,"ANEKAL, IN",1905,10,29.01612903225807
IN009010500,"ANEKAL, IN",1905,11,27.723333333333336
IN009010500,"ANEKAL, IN",1905,12,27.925806451612903
IN009010101,"HASKOTE, IN",1905,1,27.86451612903225
IN009010101,"HASKOTE, IN",1905,2,26.249999999999996
IN009010101,"HASKOTE, IN",1905,3,28.03548387096774
IN009010101,"HASKOTE, IN",1905,4,27.610000000000007
IN009010101,"HASKOTE, IN",1905,5,27.964516129032262
IN009010101,"HASKOTE, IN",1905,6,27.98
IN009010101,"HASKOTE, IN",1905,7,27.377419354838704
IN009010101,"HASKOTE, IN",1905,8,26.941935483870967
IN009010101,"HASKOTE, IN",1905,9,27.713333333333335
IN009010101,"HASKOTE, IN",1905,10,27.68064516129032
IN009010101,"HASKOTE, IN",1905,11,28.34
IN009010101,"HASKOTE, IN",1905,12,27.945161290322584
IN009010500,"ANEKAL, IN",1906,1,29.36129032258065
IN009010500,"ANEKAL, IN",1906,2,28.15714285714285
